Stock,Year,Adult_Escapement,Jack_Escapement,Total_Escapement,Adult_Broodstock,Jack_Broodstock,Alaska_Catch,Below_Mission_Catch,Above_Mission_Catch,AdultCatch_RSA,AdultLoss_RSA,AdultEscape_RSA,AdultCatch_Redistribution,JackLoss_RSA,JackEscape_RSA,DBE,Run_Size,Run_Size_Method
Birkenhead,2023,75695,198,"75,893",NA,NA,515,1754,3,,25451,658,,67,,-121137,104341,RSA
Birkenhead,2022,127815,1910,"129,725",NA,NA,886,25293,2151,,22555,,,349,,-31918,180959,RSA
Birkenhead,2021,45853,40,"45,893",NA,NA,4403,485,54,,5094,,,4,,-71442,55932,RSA
Birkenhead,2020,5308,168,"5,476",NA,NA,236,84,0,,1327,,,38,,-3893,7161,RSA
Birkenhead,2019,2998,60,"3,058",NA,NA,598,90,0,45,529,,,11,,300,4330,RSA
Birkenhead,2018,15041,10,"15,051",NA,NA,470,16121,1638,227,1672,,-141,1,,-12976,35038,RSA
Birkenhead,2017,18629,7,"18,636",NA,NA,603,351,109,264,2098,249,-116,1,,-13673,22194,RSA
Birkenhead,2016,36404,37,"36,441",NA,NA,867,3937,416,,9101,,455,10,,-10134,51226,RSA
Birkenhead,2015,44973,76,"45,049",NA,NA,5916,3135,51,659,7936,,-1049,13,,-19776,61711,RSA
Birkenhead,2014,35552,211,"35,763",NA,NA,0,36679,5255,,8888,,15480,53,,5354,102117,RSA
Birkenhead,2013,80086,35,"80,121",NA,NA,1974,3103,143,,8899,,,4,,-3780,94244,RSA
Birkenhead,2012,56282,224,"56,506",NA,NA,690,22457,4315,,18761,,1762,75,,-58283,104565,RSA
Birkenhead,2011,227742,1075,"228,817",NA,NA,2238,85610,24903,,25305,,,116,,46704,366988,RSA
Birkenhead,2010,128285,180,"128,465",NA,NA,0,152668,,,17494,,3987,25,,-18858,302638,RSA
Birkenhead,2009,53977,179,"54,156",NA,NA,490,3621,199,,4694,,,16,,-6535,63175,RSA
Birkenhead,2008,19500,361,"19,861",NA,NA,122,8563,915,,,,,,,-21413,50874,DBE
Birkenhead,2007,93480,47,"93,527",NA,NA,31919,10026,336,,,,,,,19974,135808,DBE
Birkenhead,2006,266459,80,"266,539",NA,NA,2601,154771,5910,,,,,,,-116086,545908,DBE
Birkenhead,2005,53546,898,"54,444",NA,NA,1191,17144,1820,,,,,,,-60927,135526,DBE
Birkenhead,2004,37617,56,"37,673",NA,NA,5843,27918,2044,,,,,,,-50017,123495,DBE
Birkenhead,2003,309878,652,"310,530",NA,NA,6481,120862,6769,,,,,,,50797,444642,DBE
Birkenhead,2002,189500,0,"189,500",NA,NA,12,33203,1851,,,,,,,-18525,243091,DBE
Birkenhead,2001,44450,277,"44,727",NA,NA,940,8539,75,,,,,,,-136,54417,DBE
Birkenhead,2000,13842,0,"13,842",NA,NA,20,16627,6241,,,,,,,1912,36730,DBE
Birkenhead,1999,48916,670,"49,586",NA,NA,1441,13777,1364,,,,,,,-120378,186546,DBE
Birkenhead,1998,295880,369,"296,249",NA,NA,20635,94332,3531,,,,,,,-62541,477288,DBE
Birkenhead,1997,50202,670,"50,872",NA,NA,4062,187304,1378,,,,,,,-17000,260616,DBE
Birkenhead,1996,56112,8011,"64,123",NA,NA,1858,45356,1509,,,,,,,8262,112846,DBE
Birkenhead,1995,39871,3139,"43,010",NA,NA,13,28889,15369,,,,,,,-17147,104429,DBE
Birkenhead,1994,39234,211,"39,445",NA,NA,23127,390496,1122,,,,,,,-82319,536508,DBE
Birkenhead,1993,244954,5471,"250,425",NA,NA,17071,1358416,,,,,,,,-104850,1730762,DBE
Birkenhead,1992,185908,32625,"218,533",NA,NA,20742,260637,7922,,,,,,,116784,507835,DBE
Birkenhead,1991,293626,22843,"316,469",NA,NA,13530,576536,3835,,,,,,,114925,910370,DBE
Birkenhead,1990,166773,3489,"170,262",NA,NA,17215,767004,261,,,,,,,-49819,1004562,DBE
Birkenhead,1989,29334,17369,"46,703",NA,NA,2466,208465,3132,,,,,,,15407,260766,DBE
Birkenhead,1988,166591,10736,"177,327",NA,NA,0,331671,15259,,,,,,,-49007,573264,DBE
Birkenhead,1987,164849,3992,"168,841",NA,NA,841,739667,16032,,,,,,,-125656,1051038,DBE
Birkenhead,1986,335630,12664,"348,294",NA,NA,4926,1283884,15691,,,,,,,114871,1652794,DBE
Birkenhead,1985,11905,25707,"37,612",NA,NA,154,112587,3497,,,,,,,19039,153849,DBE
Birkenhead,1984,40245,2604,"42,849",NA,NA,0,201771,12488,,,,,,,-72163,329270,DBE
Birkenhead,1983,44029,4812,"48,841",NA,NA,9465,397752,12636,,,,,,,-62722,531417,DBE
Birkenhead,1982,119738,9033,"128,771",NA,NA,,489836,21231,,,,,,,-34098,673936,DBE
Birkenhead,1981,49023,16472,"65,495",NA,NA,,408973,9025,,,,,,,-32204,515697,DBE
Birkenhead,1980,78613,12309,"90,922",NA,NA,,409593,19279,,,,,,,-35032,554826,DBE
Birkenhead,1979,60988,17100,"78,088",NA,NA,,257827,16306,,,,,,,33313,352221,DBE
Birkenhead,1978,94782,5075,"99,857",NA,NA,,348926,21567,,,,,,,-1107,471457,DBE
Birkenhead,1977,23845,19294,"43,139",NA,NA,,185455,19919,,,,,,,5865,248512,DBE
Birkenhead,1976,77305,30816,"108,121",NA,NA,,408731,14018,,,,,,,,530870,NA
Birkenhead,1975,61538,31390,"92,928",NA,NA,,249755,11473,,,,,,,,354156,RSA
Birkenhead,1974,119637,53826,"173,463",NA,NA,,681483,24028,,,,,,,,878975,NA
Birkenhead,1973,56653,82642,"139,295",NA,NA,,469939,7330,,,,,,,,616564,NA
Birkenhead,1972,54516,58581,"113,097",NA,NA,,240051,5299,,,,,,,,358447,NA
Birkenhead,1971,24629,8043,"32,672",NA,NA,,452003,6813,,,,,,,,491488,NA
Birkenhead,1970,30656,42104,"72,760",NA,NA,,159314,6610,,,,,,,,238684,NA
